Agent Name,Address,Phone,Email,Reason for Selection,State/Region
NumberWorks'nWords Pennant Hills (Thornleigh),"B3A, 2 Central Ave, Thornleigh NSW 2120",(02) 9484 5544,pennanthills@numberworks.com,"Upper North Shore branch; licensing practice-test content would extend their curriculum library.",NSW - Greater Sydney
NumberWorks'nWords Miranda,"Suite 5/601 Kingsway, Miranda NSW 2228",02 9525 1585,miranda@numberworks.com,"Sutherland Shire catchment for the same maths/English franchise model.",NSW - Greater Sydney
MWNS Eastern Suburbs (Waverley),"21 Albion St, Waverley NSW 2024",02 9697 9999,waverley@mwns.com.au,"K-12 maths/English centre with a large in-centre resource library - good fit for a digital NAPLAN practice add-on.",NSW - Greater Sydney
MWNS Northern Beaches (Brookvale),"Level 1, 698 Pittwater Road, Brookvale NSW 2100",02 9697 9999,brookvale@mwns.com.au,"Same MWNS network, separate Northern Beaches location.",NSW - Greater Sydney
MWNS Sutherland Shire (Caringbah),"319 Kingsway, Caringbah NSW 2229",02 9697 9999,caringbah@mwns.com.au,"Same MWNS network, separate Sutherland Shire location.",NSW - Greater Sydney
Kip McGrath Miranda,"Suite 7, 18 Gibbs Street, Miranda NSW 2228",0407 049 526,miranda@kipmcgrath.com.au,"Major national tutoring franchise; strong licensing prospect for exam-style digital content across its centres.",NSW - Greater Sydney
Kip McGrath Marrickville,"249 Addison Road, Marrickville NSW 2204",02 8021 9507,marrickville@kipmcgrath.com.au,"Same franchise, Inner West catchment.",NSW - Greater Sydney
Kip McGrath Eastwood,"1/33 West Parade, Eastwood NSW 2122",02 9874 6982,eastwood@kipmcgrath.com.au,"Same franchise; distinct business from James An College's Eastwood branch already on this list.",NSW - Greater Sydney
Kumon Wentworthville/Westmead Education Centre,"Shop 4/39 Darcy Rd, Wentworthville NSW 2145",0430 803 383,"Not published - see kumonsearch.com.au","Structured maths/reading centre for primary-aged kids; NAPLAN-style practice content complements their worksheet curriculum.",NSW - Greater Sydney
Kumon Riverstone Education Centre,"1 Garfield Road East, Riverstone NSW 2765","Not published - see kumonsearch.com.au","Not published - see kumonsearch.com.au","Same franchise model, North-West Sydney growth corridor.",NSW - Greater Sydney
Kumon West Ryde Education Centre,"1087-1089 Victoria Rd, West Ryde NSW 2114",(02) 9807 6620,"Not published - see facebook.com/kumonwestryde","Same franchise model, distinct address.",NSW - Greater Sydney
Alpha One Coaching College (Bella Vista),"201/14-16 Lexington Drive, Bella Vista NSW 2153",(02) 8271 3094,bellavista@alphaonecollege.com.au,"OC/Selective test coaching college needing high volumes of practice-test content for Years 3-6 - ideal licensing prospect.",NSW - Greater Sydney
Reach Academy,"Ground Level, 56 Cecil Avenue, Castle Hill NSW 2154",1300 879 098,info@reachacademy.com.au,"Hills District OC & Selective School coaching college; practice-test content is directly core to their offering.",NSW - Greater Sydney
Test Academy,"Suite 107, 18-20 Ross Street, Parramatta NSW 2150",(02) 7813 0966,"Not published - see https://testacademy.com.au/","Selective/OC test-prep specialist for Years 1-6 with capped small classes; would value licensed test-style material.",NSW - Greater Sydney
James An College - Ashfield,"Suite 103, 2 Holden St, Ashfield NSW 2131",(02) 9798 8822,"Not published - see https://jamesancollege.com/contactus/","Selective-test coaching franchise branch, Inner West - distinct address from Hurstville/Eastwood branches already on this list.",NSW - Greater Sydney
James An College - Campsie (Head Office),"Level 1/110 Clissold Parade, Campsie NSW 2194",+61 404 917 465,"Not published - see https://jamesancollege.com/contactus/","Same coaching franchise, separate campus/head office.",NSW - Greater Sydney
James An College - Hornsby,"Suite 1, 17-19 Florence Street, Hornsby NSW 2077",+61 2 9987 2770,jachornsby@gmail.com,"Same franchise, North Shore catchment.",NSW - Greater Sydney
Edu-Kingdom College - Castle Hill,"Suite 17/7-9 Barwell Ave, Castle Hill NSW 2154",0433 883 233,"Not published - see https://edukingdomcollege.com/contact-us/","Selective/OC/HSC coaching college - good target for licensed practice-test content.",NSW - Greater Sydney
Edu-Kingdom College - Chatswood,"Suite 104, 398 Victoria Ave, Chatswood NSW 2067",0422 538 538,"Not published - see edukingdomcollege.com","Same coaching college, separate branch.",NSW - Greater Sydney
Edu-Kingdom College - Eastwood,"Suite 2, 10 East Parade, Eastwood NSW 2122",0473 795 099,"Not published - see edukingdom.com.au/branches-2/","Same coaching college, separate branch.",NSW - Greater Sydney
North Shore Coaching College - Hurstville,"8/108 Queens Rd, Hurstville NSW 2220",0478 398 200,"Not published - see https://www.north-shore.com.au/locations/","Same brand as the Chatswood entry but a distinct campus for selective/scholarship exam prep.",NSW - Greater Sydney
North Shore Coaching College - Epping,"50 Oxford St, Epping NSW 2121",0426 733 799,"Not published - see https://www.north-shore.com.au/locations/","Same brand, separate campus.",NSW - Greater Sydney
ACE HSC Tuition,"44-46 Oxford St, Epping NSW 2121",(02) 9874 7045,admin@acehsc.com.au,"Specialist tutoring centre including the Year 9 NAPLAN cohort; plausible licensee for junior high-school practice content.",NSW - Greater Sydney
Matrix Education - Epping Campus,"Level 4, 3 Carlingford Rd, Epping NSW 2121",1300 008 008,"Not published - see matrix.edu.au/contact-us/","Same major coaching brand already on this list, a third separate-address campus buying content at scale.",NSW - Greater Sydney
Matrix Education - Hurstville Campus,"Level 2, 8 Woodville Street, Hurstville NSW 2220",1300 008 008,"Not published - see matrix.edu.au/contact-us/","Same reasoning, separate campus.",NSW - Greater Sydney
Matrix Education - Strathfield Campus,"Level 9, Strathfield Plaza, 11 The Boulevarde, Strathfield NSW 2135",1300 008 008,"Not published - see matrix.edu.au/contact-us/","Same reasoning, separate campus.",NSW - Greater Sydney
Dymocks Tutoring - Parramatta Learning Hub,"Level 3, 1-3 Fitzwilliam Street, Parramatta NSW 2150","Not published (general line 1300 337 788)","Not published - see dymockstutoring.edu.au","Same tutoring brand as the existing Burwood hub, distinct Western Sydney learning hub.",NSW - Greater Sydney
Success Tutoring - Parramatta,"Suite 101, Level 1/7K Parkes St, Harris Park NSW 2150",+61 401 051 838,parramatta@successtutoring.com.au,"Same brand as the existing CBD/Hornsby entry, distinct Western Sydney campus offering homework help and exam prep.",NSW - Greater Sydney
Mathnasium - Bella Vista,"104/24-32 Lexington Drive, Bella Vista NSW 2153",(02) 9054 3135,bellavista@mathnasium.com.au,"Maths-only learning-centre franchise; numeracy-focused NAPLAN practice content is a natural product add-on.",NSW - Greater Sydney
Mathnasium - Rouse Hill,"G36, 32 Civic Way, Rouse Hill NSW 2155",0401 753 751,"Not published - see mathnasium.com/au/maths-centres/rousehill","Same franchise, separate North-West Sydney centre.",NSW - Greater Sydney
Skill Samurai - Castle Hill,"7/3 Packard Ave, Castle Hill NSW 2154",1300 726 872,"Not published - see skillsamurai.com.au/contact-us","Coding/STEM franchise for primary/high-school kids; cross-sell opportunity for numeracy/digital-literacy NAPLAN practice content.",NSW - Greater Sydney
Successful Learners Tutoring,"3/76 Anzac Parade, Kensington NSW 2033",0424 133 121,info@sltutoring.com.au,"Preschool-to-Year-12 tutoring centre serving Kensington/Mascot/Eastgardens - good licensing candidate for supplementary test-prep content.",NSW - Greater Sydney
Ms Penny's Tutoring,"1st Floor/63 Gymea Bay Road, Gymea NSW 2227",0438 267 161,penny@mspennystutoring.com.au,"Independent local tutoring business covering the Sutherland Shire's primary/high schoolers; potential licensee for supplementary practice-test material.",NSW - Greater Sydney
Arrendell Education,"Level 3, 28-38 Smart Street, Charlestown NSW 2290","(02) 4942 3000 / 0431 739 400","Not published - see https://www.arrendell.com.au/contact/","48+ year Newcastle/Hunter region tutoring centre covering NAPLAN, OC and selective-school prep for K-12 - natural buyer of a digital practice-test portal.",NSW - Regional (Newcastle/Hunter)
Kip McGrath Albury Wodonga,"Level 1/461 Olive Street, Albury NSW 2640",02 6023 6199,alburywodonga@kipmcgrath.com.au,"Franchise centre in a regional NSW/VIC border market with no major NAPLAN-portal competitor nearby, making licensed digital content attractive.",NSW - Regional
Kip McGrath Port Macquarie,"Unit 1, 94 William Street, Port Macquarie NSW 2444",0428 428 051,portmacquarie@kipmcgrath.com.au,"Established tutoring franchise on the Mid-North Coast - good candidate to license a NAPLAN-style practice platform for take-home/holiday use.",NSW - Regional
Breakaway Education,"7/60 Bowral Road, Mittagong NSW 2575 (also serves Wilton NSW 2571)",0427 599 790,info@breakawayeducation.com.au,"Southern Highlands/Wollondilly tutoring business with academic assessments - well positioned to add a structured digital practice-test product.",NSW - Regional
Apex Tutoring,"Unit 2, 152 Lakedge Ave, Berkeley Vale NSW 2261 (2nd centre: Unit 6, 34 Pacific Hwy, Wyong NSW 2259)",0402 765 445,"Not published - see https://www.apextutoring.com.au/","Two-centre Central Coast tutoring business covering K-10 and test prep with holiday programs - multiple touchpoints for a licensed web portal.",NSW - Regional
The LEARN Centre,"Pacific Highway, Kanwal NSW (Wyong Shire)",0408 437 725,tonybrinley@westnet.com.au,"Kindergarten-to-HSC maths/literacy centre on the Central Coast running structured assessments and exam prep - good fit for a digital NAPLAN-style add-on.",NSW - Regional
Kumon Crown Street Education Centre (Wollongong),"429 Crown St, Wollongong West NSW 2500","(02) 4229 3332 / +61 423 109 013",kumoncrown@gmail.com,"70+ year Illawarra maths/English franchise centre - stable local business likely to want supplementary online practice content to retain families.",NSW - Regional
LEAP 2 LEARN,"Strangways Street, Curtin ACT 2605",0414 511 247,leap2learn22@gmail.com,"Canberra-based K-6 English/Maths centre aligned to the Australian Curriculum - small but relevant ACT buyer for a NAPLAN-style digital practice tool.",ACT
Big Improvements Tutoring,"Centres in Gungahlin, Dickson, Woden, Tuggeranong ACT, plus Nowra NSW (exact street addresses not published)",(02) 6242 7725,"Not published - see https://www.bigimprovements.com.au/general-enquiries/","Multi-centre K-12 operator across Canberra and Nowra with a dedicated selective-school exam prep offering - could license a portal across all five centres.",ACT / NSW - Regional
Highlands Tutor,"Mittagong NSW (street address not published)","Not published - see https://highlandstutor.com/",hello@highlandstutor.com,"Southern Highlands tutor covering primary/high-school maths plus kids' coding - could license an affordable ready-made practice portal rather than build its own content.",NSW - Regional
Kip McGrath Education Centre - Footscray,"Level 1, 3/250 Barkly Street, Footscray VIC 3011",(03) 9687 1799,footscray@kipmcgrath.com.au,"Established literacy/numeracy tutoring franchise for primary/secondary students in Melbourne's inner west; likely wants supplementary NAPLAN-style practice content.",VIC
Kip McGrath Education Centre - Balwyn,"Shop 2, 190 Belmore Road, Balwyn VIC 3103",1800 573 153,tutoring@kipmcgrath.com.au,"Franchise centre serving affluent eastern suburbs near several selective/private schools; parents here actively seek NAPLAN and academic prep resources.",VIC
Kip McGrath Education Centre - Glen Waverley,"Ground Floor, 9 Leicester Ave, Glen Waverley VIC 3150",0411 766 331,glenwaverley@kipmcgrath.com.au,"Located in a high-demand tutoring/selective-school catchment; good fit for licensing practice-test content to supplement in-centre tuition.",VIC
Kumon Education Centre - Port Melbourne,"150 Rouse Street, Port Melbourne VIC 3207",0423 339 266,"Not published - see portmelbournshoppingprecinct.com.au","Maths/English learning franchise for primary-aged children; natural buyer of digital practice-test add-ons to complement its worksheet program.",VIC
Kumon Education Centre - Nunawading,"10/197 Springvale Road, Nunawading VIC 3131","Not published - see kumonsearch.com.au","Not published - see kumonsearch.com.au","Long-running Kumon branch in the eastern suburbs serving primary/high-school students who would benefit from NAPLAN-format practice material.",VIC
Kumon Education Centre - Springvale,"Suite 2, 387-389 Springvale Road, Springvale VIC 3171",+61 431 793 660,kumonspringvalecentre@gmail.com,"Serves a large, education-focused multicultural community in Melbourne's south-east; plausible licensee for supplementary online test-prep content.",VIC
Success Tutoring - Docklands & North Melbourne,"Shop 8 G/427 Docklands Dr, Docklands VIC 3008",0438 199 279,"Not published - see aroundschools.com.au listing","Growing English/maths tutoring franchise targeting primary/secondary students in inner Melbourne; likely wants digital practice tests to differentiate its offering.",VIC
Success Tutoring - Wyndham Vale / Werribee,"2 Bradfield St, Werribee VIC 3030",0478 654 422,"Not published - see successtutoring.com.au/tutoring-melbourne/wyndham-vale","Serves the fast-growing Melbourne west corridor, an underserved tutoring market where a bundled NAPLAN practice portal could add value.",VIC
Success Tutoring - Caroline Springs,"Brookside Central, Office 4, 9-12 Federation Way, Caroline Springs VIC 3023",0434 439 184,"Not published - see successtutoring.com.au/caroline-springs-tutoring","Suburban growth-corridor tutoring centre with a young family demographic; good candidate for licensing test-prep content for Years 3/5/7/9.",VIC
North Shore Coaching College - Box Hill,"50 Rutland Road, Box Hill VIC 3128",(03) 9898 9880,"Not published - see north-shore.com.au/location/box-hill/","Selective-school and scholarship exam coaching college; core business is exam-style preparation, making it a strong buyer for practice-test content.",VIC
North Shore Coaching College - Coburg,"191 Urquhart Street, Coburg VIC 3058",0410 057 836,"Not published - see north-shore.com.au/location/coburg/","Same scholarship/selective-entry coaching franchise in Melbourne's north; directly relevant to standardized academic test prep like NAPLAN.",VIC
James An College (VIC Head Office) - Braybrook,"16A, 77-79 Ashley St, Braybrook VIC 3019",(03) 9362 0051,jaccomvictoria@gmail.com,"Coaches students for selective-school entrance and scholarship exams (Melbourne High, Mac.Robertson, Nossal, Suzanne Cory) - close match for licensing academic practice-test content.",VIC
Direct Speech - Caulfield South,"10 Spring Road, Caulfield South VIC",0411 898 711,judith@directspeech.com.au,"Runs scholarship exam preparation coaching for Victorian students; would plausibly license or resell a digital practice-test portal to supplement live coaching.",VIC
Spectrum Tuition - Box Hill Campus,"Box Hill Senior Secondary College, 19 Dunloe Ave, Mont Albert North VIC 3129",1800 668 177,enquiries@spectrumtuition.com,"Multi-campus (15+ centres across Melbourne) selective-school and exam-prep tutoring business; larger organisation that could license content across its whole network.",VIC
Edu-Kingdom Tuition Centre - Box Hill,"Suite 7, 30-32 Ellingworth Pde, Box Hill VIC 3128",(03) 9899 7871,boxhill@edukingdom.com.au,"Part of a 38+ branch tutoring network across VIC/QLD/NSW/NZ offering English/maths enrichment; scale makes it attractive for a portal licensing deal.",VIC
Edu-Kingdom Tuition Centre - Footscray,"129-131 Paisley St, Footscray VIC 3011",(03) 9687 4888,footscray@edukingdom.com.au,"Same franchise network serving the western suburbs; independently owned branch = distinct buying decision-maker for a digital add-on product.",VIC
Edu-Kingdom Tuition Centre - Glen Waverley,"Level 1, 61-63 Railway Pde, Glen Waverley VIC 3150",(03) 9887 8064,glenwaverley@edukingdom.com.au,"Located in a high-density tutoring/selective-school suburb; strong prospect for supplementary NAPLAN/academic practice-test material.",VIC
ACE Learning Centre - Balwyn North,"Suite 6, 70 Doncaster Road, Balwyn North VIC 3104",0414 434 770,Admin@AceLearningCentre.com.au,"Independent maths/English enrichment centre in a high-achievement eastern-suburbs catchment; good candidate to license practice-test content for younger students.",VIC
Pre Uni Victoria - Point Cook,"Suite 804, Level 1, Murnong St, Stockland Point Cook, Point Cook VIC 3030",(03) 6204 9499,pointcook@preunicollegedigital.com.au,"Runs structured primary English/maths and exam-prep classes in the growing west-Melbourne corridor; fits the profile of a centre wanting a ready-made digital practice portal.",VIC
System@Tech - Williams Landing,"111 Overton Rd, Williams Landing VIC 3027",0413 949 831,hello@systematechedu.com.au,"STEM/robotics academy for kids and teens; good cross-sell target for a general academic practice portal to diversify beyond pure coding/robotics offerings.",VIC
Kip McGrath Education Centres - Ashmore (Gold Coast),"Shop 15, Ashmore Shopping Plaza, 160 Cotlew Street, Ashmore QLD 4214",0487 590 549,ashmore@kipmcgrath.com.au,"Franchise centre delivering primary/high-school maths and English tutoring with a strong local family client base - natural licensee for a NAPLAN-style digital practice portal.",QLD
Kip McGrath Education Centres - Mudgeeraba (Gold Coast),"Shop 3, Colonial Court, 55 Railway Street, Mudgeeraba QLD 4213",0435 784 775,mudgeeraba@kipmcgrath.com.au,"Independently-run Kip McGrath franchise branch serving Years 3-9 students; regularly seeks supplementary online practice-test content.",QLD
Kip McGrath Education Centres - Albany Creek / Eatons Hill (Brisbane),"Shop 4C, 6-12 Bunya Park Drive, Eatons Hill QLD 4037",0417 864 285,albanycreek@kipmcgrath.com.au,"Brisbane-north franchise centre with an established primary-school client base; good candidate to license branded NAPLAN prep content for take-home use.",QLD
Success Tutoring - Chermside (Brisbane),"Shop 4/793 Gympie Rd, Chermside QLD 4032",0430 002 143,chermside@successtutoring.com.au,"Growing Brisbane franchise offering personalised English/Maths tutoring; franchise model means one sale could lead to introductions across other QLD campuses.",QLD
Kumon Helensvale Education Centre (Gold Coast),"4/1-9 Lindfield Road, Helensvale QLD 4212","Not published - see kumonsearch.com.au","Not published - see kumonsearch.com.au","Kumon centre running structured maths/English worksheet programs for primary/high schoolers - good fit for supplementary NAPLAN-aligned digital practice material.",QLD
Kumon Southport Education Centre (Gold Coast),"Southport Community Centre, 6 Lawson Street, Southport QLD 4215","Not published - see kumonsearch.com.au","Not published - see kumonsearch.com.au","Established franchise learning centre for school-aged children; regularly enrols Years 3-9 students who would benefit from NAPLAN-style test practice.",QLD
High Hopes Tutoring Centre - Canning Vale (Perth),"Suite 18/2 Batman Rd, Canning Vale WA 6155",0404 497 732,info@highhopestutoring.com.au,"Small-group tutoring centre covering Maths, English, Science and NAPLAN prep for primary/middle schoolers - directly in-market for a NAPLAN-style digital portal.",WA
Success Tutoring - Canning Vale (Perth),"12/288 Amherst Rd, Canning Vale WA 6155",0427 058 704,canningvale@successtutoring.com.au,"WA branch of a national tutoring franchise teaching Maths/English/Science to primary and secondary students - plausible buyer of licensed practice-test content.",WA
Top Marks Tutoring Centres - Jindalee (Perth),"Unit 2/10 Clew Way, Jindalee WA 6036",0437 222 480,enquiries@topmarkstutoring.com.au,"Explicitly markets specialised NAPLAN tutoring for Years 3, 5, 7 and 9 - highly aligned prospect for a NAPLAN-style practice portal.",WA
Scholastic Excellence / Test Champs-WA - Langford (Perth),"Unit 1, 2 View Ave, Langford WA 6147",0410 121 509,"Not published - see scholasticexcellence.com.au","Perth centre specialising in NAPLAN tutoring/exam prep for Years 5, 7 and 9 - core business is test preparation, a direct match for practice-test content licensing.",WA
Kip McGrath Education Centres - North Perth,"416 Fitzgerald Street, Perth WA 6006",0473 678 528,northperth@kipmcgrath.com.au,"Metro Perth franchise branch tutoring primary/high-school students in English and Maths; good candidate for a branded online practice-test add-on.",WA
Tutors SA / Donash Education Centre - Campbelltown (Adelaide),"27 Montacute Road, Campbelltown SA 5074",08 8166 7579,info@tutorssa.com.au,"Adelaide centre offering scholarship, selective-entry and STEM-pathway exam prep for primary/high-school students - well aligned with buying licensed academic practice content.",SA
Success Hub - Prospect (Adelaide),"276A Main North Road, Prospect SA 5082",1300 178 223,enquiries@successhub.au,"Structured Maths/English/Science tutoring centre for Years 1-12 in Adelaide's north - plausible licensee of a study portal to extend take-home practice.",SA
Kumon North Hobart Education Centre,"32 Patrick Street, Hobart (North Hobart) TAS",0478 581 311,kumonnorthhobart1@gmail.com,"Franchisee-run Kumon centre teaching Maths and English to local school-age children - one of the few dedicated in-person tutoring centres in Hobart, a good regional lead outside NSW/VIC.",TAS
Kumon Fannie Bay Education Centre (Darwin),"Shop 3, 5 Keith Lane, Fannie Bay NT 0820",(08) 8942 2902,"Not published - see kumonsearch.com.au/centre/kumon-fannie-bay","One of the only physical after-school learning centres in Darwin serving primary/high-school-aged children - valuable NT-region lead for licensing practice-test content.",NT
